latin_species,n
Ephippiorhynchus asiaticus,2
Ephthianura albifrons,1
Ephthianura aurifrons,1
Ephthianura crocea,1
Ephthianura tricolor,1
Epthianura albifrons,1
Epthianura aurifrons,1
Epthianura crocea,1
Epthianura tricolor,1
Eremiornis carteri,2
Eremomela icteropygialis,1
Eremomela scotops,1
Eremomela usticollis,1
Eremophila alpestris,5
Ergaticus ruber,1
Erithacus rubecula,9
Ermophila alpestris,1
Erthrogonys cinctus,1
Eryhropygia leucophrys,1
Erythrina erythrina,1
Erythrogonys cinctus,1
Erythrotriorchis radiatus,1
Erythrura gouldiae,2
Erythrura trichroa,2
Esacus magnirosris,1
Esacus neglectus,1
Estrilda astrild,1
Eucometis penicillata,1
Eudocimus albus,3
Eudromias morinellus,1
Eudynamys scolopacea,2
Eudyptes chrysocome,1
Eudyptes chrysolophus,1
Eudyptes pachyrhynchus,1
Eudyptes robustus,1
Eudyptes sclateri,1
Eudyptua minor,1
Eugenes fulgens,3
Eulabeornis castaneoventris,2
Eumomota superciliosa,1
Eumyias thalassinus,1
Euphagus carolinus,3
Euphagus cyanocephalus,3
Euphonia affinis,1
Euphonia elegantissima,1
Euphonia gouldi,1
Euphonia hirundinacea,1
Euphonia minuta,1
Euplectes albonotatus,1
Euplectes franciscanus,2
Euplectes orix,1
Euptilotis neoxenus,1
Euptilotis nexenus,1
Eurocephalus anguitimens,1
Eurostopodus argus,2
Eurostopodus mystacalis,1
Eurypyga helias,1
Eurystomus orientalis,2
Euthlypis lachrymosa,1
Eythrotriorchis radiatus,1
Falcipenis canadensis,1
Falcipennis canadensis,2
Falco berigora,2
Falco cenchroides,1
Falco chenchroides,1
Falco columbarius,9
Falco eleonorae,2
Falco femoralis,3
Falco hypoleucos,2
Falco longipennis,2
Falco mexicanus,3
Falco naumanni,2
Falco peregrinus,13
Falco rufigularis,1
Falco rusticolus,5
Falco sparverius,3
Falco subbuteo,10
Falco subniger,2
Falco tinnunculus,12
Falco vespertinus,3
Falcunculus frontatus,2
Ficedula albicilla,2
Ficedula albicollis,2
Ficedula hypoleuca,8
Ficedula narcissina,1
Ficedula parva,3
Ficedula strophiata,1
Ficedulla albicilla,1
Florisuga mellivora,1
Formicarius analis,1
Forpus cyanopygius,1
Fratercua cirrhata,1
Fratercula arctica,11
Fratercula cirrhata,2
